,AwareJan,VoteJan,AwareFeb,VoteFeb,AwareMar,VoteMar,AwareApr,VoteApr,AwareMay,VoteMay
ALUNAN,12,2.5,14,3.9,14,3.7,11,2.5,16,3.8
AMBOLODTO,4,2.1,5,3.4,5,3.4,5,3.6,5,4.2
ARQUIZA,4,0.7,3,1,5,1.8,4,1.8,6,1.6
BALIGOD,5,0.8,6,1.3,18,2.3,5,1.4,7,2.5
BELGICA,6,0.6,6,0.9,11,2.1,6,2.4,7,2.1
BELLO,7,0.9,9,2.1,11,2.3,10,2.9,12,2.2
CAM,9,1.3,11,0.8,6,2.2,16,1.5,20,2.1
CHAVEZ,18,7.5,23,6.4,28,7,25,5.8,27,6.8
COLMENARES,65,17.8,63,13.5,63,11.4,60,9.4,60,8.8
DELIMA,94,48.2,93,45.3,94,33.8,93,32.3,93,33.3
DOMAGOSO,88,24.5,86,19.2,88,22.4,88,20.2,88,20.1
DRILON,96,58.8,95,52.4,95,51,96,51.6,96,49.4
GADON,7,2.4,6,1.9,9,4.1,8,3.9,11,4.3
GATCHALIAN,76,37.7,83,41.2,85,28.3,88,31.5,86,29.8
GORDON,92,48.6,91,42.6,95,36,93,33.8,94,32.7
GUINGONA,88,41.4,87,36.7,88,26.1,87,25.3,88,25.3
HONTIVEROS,85,41.1,85,36.2,86,34.3,85,33.7,86,34.9
KABALU,6,0.9,9,2,8,0.6,8,1.2,8,1.1
KAPUNAN,34,5.7,37,5,31,4.7,31,3.9,32,4.2
KIRAM,7,2.6,8,2.4,7,2.8,7,2.4,7,3.6
LACSAMANA,87,11.8,91,11.2,94,9.9,96,8.8,94,7.7
LACSON,96,63.3,96,60.2,98,45.2,99,40.8,98,44.9
LANGIT,63,7,66,7.7,64,5.4,61,5.6,64,6
LAPID,86,27.2,85,21.5,82,18.2,80,20.8,80,19
LIBAN,11,1.1,11,1.2,6,1.7,10,1.9,11,1.4
MAGANTO,18,3,23,2.8,26,3.8,22,2.8,26,4
MANZANO,94,24.5,94,17.1,95,16.3,96,15.4,95,16.7
MONTANO,20,5.8,18,3.5,17,6.1,17,5.5,19,5.7
MONTANO,11,1.6,12,2.1,3,2.7,11,2.8,10,3.2
NAPENAS,21,2.5,26,2.5,27,5.4,27,4,26,3.9
OPLE,30,9.1,38,10.2,37,6.9,37,6,35,7
OSMENA,94,54.8,90,43.7,88,34.2,91,34.2,91,35.3
PACQUIAO,97,46.9,97,34.8,99,35.7,98,36.3,98,32.6
PAEZ,3,0.4,3,0.7,7,1,7,1.4,6,1.1
PAGDILAO,15,1.4,14,1.8,17,2.4,18,3.1,16,2.6
PALPARAN,37,4.2,39,2.8,9,2.5,36,2.6,39,2.7
PANGILINAN,96,65.6,95,54.1,96,47.6,97,46.8,96,45.7
PETILLA,44,7.4,52,9.1,46,10.9,52,12.2,43,9.5
RECTO,94,59.9,95,53.4,94,32.8,97,35.6,95,34.2
ROMUALDEZ,66,19.1,74,22,73,21,73,22.2,70,21
ROMULO,33,7.4,31,6.5,31,6.7,39,8.4,32,5.9
SANTIAGO,12,5.7,11,5.3,13,4.8,12,3.6,15,5.6
SOTTO,96,68.8,96,63.6,96,53.6,97,49.8,95,51.4
TOLENTINO,82,23.7,80,24,78,22.3,83,23.7,74,21
VILLANUEVA,80,31.1,84,39.1,84,34,88,35.6,79,29.7
ZUBIRI,95,54.9,94,48.5,96,40,97,38.9,95,37.4
