 ,"ABEJO, VANGIE (IND)","AFUANG, ABNER (WPP)","AGUILAR, FREDDIE (IND)","ALBANI, SHARIFF (WPP)","ALEJANO, GARY (LP)","ALFAJORA, RICHARD (IND)","ALUNAN, RAFFY (BGMBYN)","ANGARA, EDGARDO SONNY (LDP)","AQUINO, BENIGNO BAM  (LP)","ARCEGA, GERALD (WPP)","ARELLANO, ERNESTO (IND)","ARIAS, MARCELINO (WPP)","AUSTRIA, BERNARD (PDSP)","BALDEVARONA, BALDE (FFP)","BINAY, NANCY (UNA)","BONG REVILLA, RAMON JR (LAKAS)","CACERES, JESUS (IND)","CASI�O, TOTI (KDP)","CAYETANO, PIA (NP)","CHAVEZ, MELCHOR (WPP)","CHONG, GLENN (KDP)","COLMENARES, NERI (MKBYN)","DE GUZMAN, KA LEODY (PLM)","DELA ROSA, BATO (PDPLBN)","DIOKNO, CHEL (LP)","EJERCITO, ESTRADA JV (NPC)","ENRILE, JUAN PONCE (PMP)","ESCUDERO, AGNES (IND)","ESTRADA, JINGGOY (PMP)","FRANCISCO, ELMER (PFP)","GADDI, CHARLIE (IND)","GADON, LARRY (KBL)","GENEROSO,GEN PEDERALISMO (IND)","GO, BONG GO (PDPLBN)","GUIGAYUMA, JUNBERT (WPP)","GUTOC, SAMIRA (LP)","HILBAY, PILO (AKSYON)","JANGAO, BFG ABRAHAM (IND)","JAVELLANA, RJ (KDP)","LAPID, LITO (NPC)","MACALINTAL, MACAROMY (IND)","MALLILLIN, EMILY (IND)","MANGONDATO, FAISAL (IND)","MANGUDADATU, DONG (PDPLBN)","MANICAD, JIGGY (IND)","MARCOS, IMEE (NP)","MATULA, JOSE SONNY (WPP)","MENIANO, LUTHER (WPP)","MONTA�O, ALLAN (IND)","NALLIW, JOAN SHEELAH (IND)","ONG, DOC WILLIE (LAKAS)","OSME�A, SERGE (IND)","PADILLA, DADO (PFP)","PIMENTEL, KOKO (PDPLBN)","POE, GRACE (IND)","ROLEDA, DAN KAIBIGAN (UNA)","ROXAS, MAR (LP)","SAHIDULLA, LADY ANN (KDP)","TA�ADA,LORENZO ERIN TAPAT (LP)","TOLENTINO, FRANCIS (PDPLBN)","VALDES, BUTCH (KDP)","VILLAR, CYNTHIA (NP)",Total
ABRA,1621,1242,7625,1039,3972,1042,3050,48251,18147,1052,1829,1146,927,776,60449,57855,633,1050,38218,1238,9502,6556,1319,66539,6163,48437,17209,2770,38327,914,730,8141,901,70691,534,3050,2012,1067,545,46255,3302,772,6306,29732,13936,100775,590,348,1660,1149,11821,13733,2680,30492,56438,806,15306,628,4031,46986,924,70514,995753
BENGUET,2921,3503,16287,1883,24355,1951,18609,128506,70601,2168,6020,2377,2208,1453,78692,57988,1741,3195,137730,5373,25366,32582,4523,151455,37173,76671,31549,11517,50731,2333,2223,30759,2404,133397,1246,21417,14185,1823,1187,89515,22806,2258,11894,40665,41200,148936,1914,955,4620,38169,57758,62089,6136,97673,149032,1870,51567,1948,19955,106444,2932,168002,2328440
IFUGAO,1669,1029,12152,1193,9374,1202,2987,28007,25816,1188,3112,1169,1261,864,32422,29462,869,1124,32411,1851,5357,8047,1408,35230,11041,21457,13708,4069,23256,1302,1235,5592,1357,30187,777,8016,5710,1139,663,29754,7550,2070,4886,15376,5459,37204,1044,671,2037,70196,8469,12475,4719,22831,41110,1446,21856,1074,7102,23617,1085,46270,737014
KALINGA,2123,1698,15300,1695,5146,1667,4303,38409,22927,1724,4281,2191,1623,1233,41753,41846,1134,1850,40188,3647,6661,12365,2150,44861,8271,30262,21292,6050,33019,1778,1403,7296,2091,51131,997,3677,2760,1727,960,38857,5391,1765,6959,14877,5945,59814,1215,766,2363,18268,10055,18997,5895,30273,42939,1466,18634,1073,4411,33431,1451,56463,854797
MOUNTAIN PROVINCE,1373,1401,8936,957,5628,988,2881,22672,17068,960,2622,1019,1021,767,22356,20414,688,1009,25955,1920,5086,7134,1358,33294,7008,15940,10502,3416,15872,980,966,5327,1029,26489,499,4341,2834,805,556,21761,4798,2553,3231,8940,6614,33175,766,530,1722,25846,8466,11235,3211,18646,32222,875,14223,771,4155,20951,905,39680,549347
APAYAO,693,625,6128,744,1834,628,1209,19153,13079,628,1333,693,569,539,22552,24886,374,607,21620,945,1722,2203,781,23004,2427,17331,10886,1816,18723,605,412,2184,573,22559,326,1165,958,595,355,21237,4216,1102,1647,4417,4246,37369,403,205,839,763,3058,7091,2338,14226,23817,593,10373,499,1310,16446,566,32772,416997
BATANES,95,80,577,68,1959,108,312,2529,3941,56,265,76,60,39,2371,1917,61,103,3370,161,629,640,160,2627,2133,1951,1133,390,1577,61,66,451,60,2186,62,1604,753,72,57,1955,1403,66,203,580,1524,1865,63,28,212,42,1077,1832,201,2432,4034,63,3065,61,1390,1910,94,4068,62928
CAGAYAN,6702,5613,40250,5012,25056,4864,15023,183292,126276,4133,9489,4256,3872,3588,231449,215561,3384,5622,197736,8504,19860,38153,8982,188368,38596,158271,169166,15353,161972,4185,3100,28109,4409,210349,2915,21139,19936,5217,2824,199026,23281,19165,15455,55216,43968,314764,3068,1408,7567,3071,47315,93348,14597,142909,247129,3980,90793,2811,18548,145633,3557,282904,3980099
ISABELA,13873,7590,39774,8761,38691,6897,18800,313809,216960,8059,12846,6464,5625,5615,413691,321274,5183,8458,315462,13347,31723,62354,10748,266925,60199,289528,161964,22498,253439,5544,4604,43193,6079,340620,3687,30887,21143,6603,3647,341637,35841,11798,22119,81996,43025,433159,4538,2123,10734,10021,77377,121520,20034,212694,408054,5610,163285,5182,29925,238761,5631,443677,6135305
NUEVA VIZCAYA,2585,2042,20440,2030,15104,1834,5919,88510,54603,1959,4928,1889,1600,1467,95124,78955,1299,2387,94979,4346,9469,21215,3199,78931,18295,66505,45588,8650,68332,1836,1589,11880,2276,86417,1356,9450,6360,2943,1209,90394,12952,1700,8845,28425,21378,112349,1413,878,3922,16083,20759,37372,7742,61596,111156,1849,41467,1319,10073,64560,2330,128841,1714903
